Date,Sector,Value
1/12/2009,Private,14505258000
1/12/2009,Public,9206220000
1/03/2010,Private,14293125000
1/03/2010,Public,9207203000
1/06/2010,Private,15546394000
1/06/2010,Public,8989951000
1/09/2010,Private,14959778000
1/09/2010,Public,8941075000
1/12/2010,Private,16862442000
1/12/2010,Public,9159949000
1/03/2011,Private,18338490000
1/03/2011,Public,9536516000
1/06/2011,Private,19551953000
1/06/2011,Public,9822091000
1/09/2011,Private,25648307000
1/09/2011,Public,9257011000
1/12/2011,Private,23870476000
1/12/2011,Public,9288706000
1/03/2012,Private,29409933000
1/03/2012,Public,9203417000
1/06/2012,Private,30054223000
1/06/2012,Public,9592663000
1/09/2012,Private,31491716000
1/09/2012,Public,9310972000
1/12/2012,Private,31186608000
1/12/2012,Public,9460118000
1/03/2013,Private,29885931000
1/03/2013,Public,8898811000
1/06/2013,Private,28902156000
1/06/2013,Public,9195205000
1/09/2013,Private,30882129000
1/09/2013,Public,8735543000
1/12/2013,Private,30673316000
1/12/2013,Public,8473485000
1/03/2014,Private,29311898000
1/03/2014,Public,7832649000
1/06/2014,Private,29083589000
1/06/2014,Public,7341759000
1/09/2014,Private,26278541000
1/09/2014,Public,6911094000
1/12/2014,Private,25174504000
1/12/2014,Public,7227977000
1/03/2015,Private,22316801000
1/03/2015,Public,7305866000
1/06/2015,Private,25099573000
1/06/2015,Public,6835005000
1/09/2015,Private,22402638000
1/09/2015,Public,7095553000
1/12/2015,Private,19751450000
1/12/2015,Public,7583621000
1/03/2016,Private,18401180000
1/03/2016,Public,7773590000
1/06/2016,Private,15698573000
1/06/2016,Public,7805678000
1/09/2016,Private,14670154000
1/09/2016,Public,7857312000
1/12/2016,Private,14054406000
1/12/2016,Public,8581092000
1/03/2017,Private,14624356000
1/03/2017,Public,8780494000
1/06/2017,Private,19253314000
1/06/2017,Public,9044251000
1/09/2017,Private,29196524000
1/09/2017,Public,9516177000
1/12/2017,Private,16068160000
1/12/2017,Public,9819563000
1/03/2018,Private,16018357000
1/03/2018,Public,10615296000
1/06/2018,Private,15712747000
1/06/2018,Public,10617731000
1/09/2018,Private,14600776000
1/09/2018,Public,10133952000
1/12/2018,Private,14854456000
1/12/2018,Public,9029396000
1/03/2019,Private,14098356000
1/03/2019,Public,8901808000
1/06/2019,Private,13657790000
1/06/2019,Public,8828681000
1/09/2019,Private,13528575000
1/09/2019,Public,9007047000
1/12/2019,Private,13147296000
1/12/2019,Public,9192115000
1/03/2020,Private,13252339000
1/03/2020,Public,9122186000
1/06/2020,Private,14276091000
1/06/2020,Public,9137169000
1/09/2020,Private,13480698000
1/09/2020,Public,9261229000
1/12/2020,Private,13491743000
1/12/2020,Public,8743919000
1/03/2021,Private,13774301000
1/03/2021,Public,8730115000
1/06/2021,Private,13996297000
1/06/2021,Public,9433164000
1/09/2021,Private,13598122000
1/09/2021,Public,9441076000
1/12/2021,Private,13484850000
1/12/2021,Public,10194364000
1/03/2022,Private,13353566000
1/03/2022,Public,9937876000
