Date,Type,Value($mil)
1/06/2008,Building,20121.136
1/06/2008,Engineering,16024.743
1/09/2008,Building,20503.441
1/09/2008,Engineering,18650.239
1/12/2008,Building,20350.374
1/12/2008,Engineering,19510.8
1/03/2009,Building,19737.258
1/03/2009,Engineering,18486.595
1/06/2009,Building,18756.35
1/06/2009,Engineering,19377.896
1/09/2009,Building,18837.998
1/09/2009,Engineering,19712.633
1/12/2009,Building,19881.706
1/12/2009,Engineering,18567.592
1/03/2010,Building,21515.973
1/03/2010,Engineering,18518.222
1/06/2010,Building,23052.84
1/06/2010,Engineering,19328.477
1/09/2010,Building,22726.165
1/09/2010,Engineering,19179.358
1/12/2010,Building,22020.655
1/12/2010,Engineering,20918.223
1/03/2011,Building,21324.19
1/03/2011,Engineering,22368.9
1/06/2011,Building,21063.966
1/06/2011,Engineering,24110.571
1/09/2011,Building,21067.095
1/09/2011,Engineering,28388.055
1/12/2011,Building,20647.665
1/12/2011,Engineering,27288.569
1/03/2012,Building,20439.091
1/03/2012,Engineering,31939.4
1/06/2012,Building,20106.669
1/06/2012,Engineering,32947.071
1/09/2012,Building,20138.395
1/09/2012,Engineering,34223.07
1/12/2012,Building,21134.504
1/12/2012,Engineering,34238.355
1/03/2013,Building,21086.741
1/03/2013,Engineering,32696.153
1/06/2013,Building,21457.603
1/06/2013,Engineering,32581.136
1/09/2013,Building,22039.447
1/09/2013,Engineering,34274.176
1/12/2013,Building,22034.274
1/12/2013,Engineering,34178.135
1/03/2014,Building,22883.097
1/03/2014,Engineering,32582.443
1/06/2014,Building,23432.805
1/06/2014,Engineering,31848.913
1/09/2014,Building,23857.97
1/09/2014,Engineering,29241.603
1/12/2014,Building,24237.084
1/12/2014,Engineering,28429.046
1/03/2015,Building,25695.342
1/03/2015,Engineering,26164.396
1/06/2015,Building,25398.619
1/06/2015,Engineering,28401.158
1/09/2015,Building,26225.469
1/09/2015,Engineering,26211.236
1/12/2015,Building,27056.595
1/12/2015,Engineering,24522.594
1/03/2016,Building,27496.849
1/03/2016,Engineering,23426.158
1/06/2016,Building,28449.528
1/06/2016,Engineering,21117.591
1/09/2016,Building,27559.459
1/09/2016,Engineering,20134.334
1/12/2016,Building,28632.168
1/12/2016,Engineering,20383.318
1/03/2017,Building,28567.199
1/03/2017,Engineering,21186.588
1/06/2017,Building,28984.177
1/06/2017,Engineering,25902.725
1/09/2017,Building,29558.932
1/09/2017,Engineering,36011.106
1/12/2017,Building,30277.998
1/12/2017,Engineering,24184.01
1/03/2018,Building,30802.306
1/03/2018,Engineering,25035.196
1/06/2018,Building,31869.615
1/06/2018,Engineering,25195.376
1/09/2018,Building,31797.619
1/09/2018,Engineering,23819.409
1/12/2018,Building,32009.193
1/12/2018,Engineering,23403.731
1/03/2019,Building,32053.813
1/03/2019,Engineering,22616.082
1/06/2019,Building,30735.744
1/06/2019,Engineering,22267.152
1/09/2019,Building,31413.301
1/09/2019,Engineering,22474.021
1/12/2019,Building,30500.852
1/12/2019,Engineering,22371.547
1/03/2020,Building,30823.119
1/03/2020,Engineering,22378.548
1/06/2020,Building,29953.057
1/06/2020,Engineering,23449.139
1/09/2020,Building,29688.15
1/09/2020,Engineering,22772.304
1/12/2020,Building,30150.351
1/12/2020,Engineering,22222.389
1/03/2021,Building,30862.026
1/03/2021,Engineering,22564.671
1/06/2021,Building,31703.83
1/06/2021,Engineering,23859.032
1/09/2021,Building,32193.668
1/09/2021,Engineering,23840.083
1/12/2021,Building,32804.916
1/12/2021,Engineering,24785.982
1/03/2022,Building,34121.72
1/03/2022,Engineering,24680.907
1/06/2022,Building,33605.532
1/06/2022,Engineering,24741.034
