Year,State,Value
2022,South Australia,95647.88473
1987,Tasmania,28846.69504
1988,Tasmania,63415.1074
1989,Tasmania,59847.39236
1990,Tasmania,53297.30346
1991,Tasmania,64122.80013
1992,Tasmania,63162.45657
1993,Tasmania,60189.69621
1994,Tasmania,42708.05781
1995,Tasmania,47856.29466
1996,Tasmania,53907.34027
1997,Tasmania,46689.51234
1998,Tasmania,51980.13794
1999,Tasmania,53558.04969
2000,Tasmania,50238.4083
2001,Tasmania,58831.62348
2002,Tasmania,112946.5755
2003,Tasmania,76520.15424
2004,Tasmania,115481.2489
2005,Tasmania,132820.7633
2006,Tasmania,175833.0634
2007,Tasmania,187908.0925
2008,Tasmania,196278.3351
2009,Tasmania,191248.4349
2010,Tasmania,183355.9342
2011,Tasmania,182139.0098
2012,Tasmania,232696.8766
2013,Tasmania,239009.3953
2014,Tasmania,263312.0236
2015,Tasmania,237757.8932
2016,Tasmania,220895.6726
2017,Tasmania,240990.2161
2018,Tasmania,264211.8883
2019,Tasmania,289467.7205
2020,Tasmania,261556.2885
2021,Tasmania,310626.2688
2022,Tasmania,85074.89079
1987,Victoria,19231.84935
1988,Victoria,41499.61135
1989,Victoria,47137.4243
1990,Victoria,55013.11167
1991,Victoria,46807.19955
1992,Victoria,43250.59086
1993,Victoria,48864.42379
1994,Victoria,54767.77303
1995,Victoria,52909.88257
1996,Victoria,52046.50648
1997,Victoria,59513.88325
1998,Victoria,78858.67436
1999,Victoria,80135.82906
2000,Victoria,69659.05042
2001,Victoria,67840.35752
2002,Victoria,79060.99552
2003,Victoria,94236.05283
2004,Victoria,106644.0764
2005,Victoria,138393.7138
2006,Victoria,144262.3944
2007,Victoria,137912.0888
2008,Victoria,150306.0658
2009,Victoria,167674.1893
2010,Victoria,186015.9737
2011,Victoria,210267.2645
2012,Victoria,204823.8048
2013,Victoria,178677.8427
2014,Victoria,169919.2716
2015,Victoria,175123.4121
2016,Victoria,187955.1538
2017,Victoria,217079.784
2018,Victoria,290207.38
2019,Victoria,270205.0162
2020,Victoria,284628.0829
2021,Victoria,288846.579
2022,Victoria,73637.24828
1987,Western Australia,50230.0736
1988,Western Australia,103626.6738
1989,Western Australia,99531.76435
1990,Western Australia,80982.86961
1991,Western Australia,92054.16845
1992,Western Australia,88661.31617
1993,Western Australia,102696.4164
1994,Western Australia,95577.14824
1995,Western Australia,119604.3781
1996,Western Australia,158107.9255
1997,Western Australia,155288.619
1998,Western Australia,190971.6957
1999,Western Australia,162124.6809
2000,Western Australia,126076.4138
2001,Western Australia,142646.8414
2002,Western Australia,197502.8636
2003,Western Australia,251877.0349
2004,Western Australia,268122.0362
2005,Western Australia,403202.7324
2006,Western Australia,694055.635
2007,Western Australia,866779.9105
2008,Western Australia,993344.2044
2009,Western Australia,1005811.464
2010,Western Australia,1048750.329
2011,Western Australia,1350256.618
2012,Western Australia,1897207.821
2013,Western Australia,1718459.035
2014,Western Australia,1623547.523
2015,Western Australia,1655399.541
2016,Western Australia,998428.4543
2017,Western Australia,1412308.612
2018,Western Australia,697389.7607
2019,Western Australia,598966.1057
2020,Western Australia,695824.4639
2021,Western Australia,737400.9405
2022,Western Australia,168244.6136
